id,title,set_poster_by_filename,released,length,description
221,"Blue Collar Comedy Tour",bluecollarcomedytour.jpg,2003-03-28,105,"The comedic stylings of four sort-of famous funnymen are brought to the big screen courtesy of this 2002 documentary. "
222,"Tin Cup",tincup.jpg,1996-08-16,135,"Roy 'Tin cup' McAvoy, a failed pro golfer who lives at the run-down driving range which he manages with his sidekick and caddy Romeo in the West Texas tin pot town of Salome, ends up signing over ownership to a madam of 'show girls' to pay off debts. His foxy novice golf pupil, female psychiatrist Dr. Molly Griswold, turns out to be the new girlfriend of McAvoy's sarcastic one-time college golf partner, slick PGA superstar David Simms, who drops by to play into Roy's fatal flaw: the inability to resist a dare, all too often causing him to loose against lesser players, in this case gambling away his car. Falling for Molly, Roy decides to become her patient; in order to earn her respect, he decides to try to qualify for the US Open, after starting off as Simm's caddy 'for the benefit of his experience'. His talent proves more then adequate, but over-confident negligence of risks, while pleasing the crowds, is murder on his scores, while Simms spits on the fans but never wastes a point..."
223,"Ferris Buelers Day Off",ferrisbuelersdayoff.jpg,1986-06-11,103,"Ferris is a street-wise kid who knows all the tricks. Today he decides to take the day off school. When Ferris takes the day off, so must his best friends, Cameron and Sloane. Cameron is reluctantly persuaded to borrow his father's Ferrari, and together they hatch a plan to get Sloane out of class. Suspicious dean of students Ed Rooney knows all about Ferris, but can never catch him. Ferris' sister Jeanie is also frustrated that Ferris always gets away with his tricks and she doesn't. Furthermore, Ferris is an 'angel' in his parents eyes. It's Ferris' day off, he's out to enjoy himself, and he does!."
224,"Jersey Girl",jerseygirl.jpg,2004-03-26,102,"Ollie Trinkie is a publicist, who has a great girlfriend, Gertrude, whom he marries and they are expecting a baby but while he is looking forward to being a father, he doesn't lighten his workload. Gertrude gives birth but dies in the process. Ollie doesn't live up to his responsibilities as a father. Eventually the strain and pressure of losing his wife and being a father gets to him and he has breakdown, which leads to his termination. So with nothing much to do he tries to be good father to his daughter, Gertie. He also meets a young woman name Maya, who likes him but he is still not over his wife."
225,"Pirates of the Carribean 2",piratesofthecarribean2.jpg,2006-07-07,151,"Once again we're plunged into the world of sword fights and ""savvy"" pirates. Captain Jack Sparrow is reminded he owes a debt to Davy Jones, who captains the flying Dutchman, a ghostly ship, with a crew from hell. Facing the ""locker"" Jack must find the heart of Davy Jones but to save himself he must get the help of quick-witted Will Turner and Elizabeth Swan. If that's not complicated enough, Will and Elizabeth are sentenced to hang, unless will can get Lord Cutler Beckett Jack's compass, Will is forced to join another crazy adventure with Jack."
226,Fearless,fearless.jpg,2006-09-22,103,"Martial arts legend Huo Yuanjia became the most famous fighter in all of China at the turn of the 20th Century. Huo faced personal tragedy but ultimately fought his way out of darkness and into history, defining the true spirit of martial arts. His self-discovery, and the choices he made, inspired his nation. The son of a great fighter who did not wish for his child to follow in his footsteps, the bullied Huo Yuanjia resolves to teach himself how to fight - and win. Years of training enable him to ace match after match in his home region of Tianjin. But as his fame as a martial arts master grows, so does his pride. After an ill-advised fight leads to another master's death, members of Huo's family are slain in revenge. Grieving and ashamed, Huo wanders the country in shock. Near death, he is rescued by women from an idyllic village, and is offered simple kindness and generosity that help him heal and regain his equilibrium over a period of several years. Huo realizes that the future of martial arts lies in sportsmanship and not brutality, and he rejoins society to apply what he has learned. Returning to Tianjin, Huo takes steps to come to terms with his past and restore his family's name. His evolving, graceful Mizong (Missing) Fist method of fighting brings Huo renewed success, and he forms the progressive Jingwu Sports Federation. Taking note, duplicitous members of the Foreign Chamber of Commerce engineer a Shanghai tournament pitting Huo against four fighters, each representing the major foreign powers in China. Huo commits to the bout and faces off against, respectively, a British boxer, a Spanish swordsman, a Belgian soldier, and a Japanese martial artist. What happened that day in 1910 has never been, and will never be, forgotten in China."
227,"Million Dollar Baby",milliondollarbaby.jpg,2005-01-28,132,"Frankie Dunn has trained and managed some incredible fighters during a lifetime spent in the ring. The most important lesson he teaches his boxers is the one that rules life: above all, always protect yourself. In the wake of a painful estrangement from his daughter, Frankie has been unwilling to let himself get close to anyone for a very long time. His only friend, Scrap, an ex-boxer who looks after Frankie's gym, knows that beneath his gruff exterior is a man who has been seeking, for the past 25 years, the forgiveness that somehow continues to elude him. Then Maggie Fitzgerald walks into his gym..."
228,"Descent, The",descentthe.jpg,2006-08-04,99,"A woman goes on vacation with her family and friends and her husband and her daughter encounters a tragic accident. One year later she goes hiking with her friends and they get trapped in the cave. With a lack of supply, they struggle to survive and they meet strange blood thirsty creatures."
229,"Covenant, The",covenantthe.jpg,2006-09-08,97,"To the students of the Spenser Academy, the Sons of Ipswich are the baddest boys on campus. But that's not all they share. The four friends also share a 300-year-old secret: they're warlocks, the teenage descendants of a 17th-century coven of witches. So when the long-banished fifth son suddenly appears and threatens to kill their loved ones, they realize they must face their enemy in order to prevent him from stealing their powers and shattering the covenant forever."
230,"Snakes on a Plane",snakesonaplane.jpg,2006-08-18,105,"While practicing motocross in Hawaii, Sean Jones witnesses the brutal murder of an important American prosecutor by the powerful mobster Eddie Kim. He is protected and persuaded by the FBI agent Neville Flynn to testify against Eddie in Los Angeles. They embark in the red-eye Flight 121 of Pacific Air, occupying the entire first-class. However, Eddie dispatches hundred of different species of snakes airborne with a time operated device in the luggage to release the snakes in the flight with the intent of crashing the plane. Neville and the passengers have to struggle with the snakes to survive."
231,"Beer League",beerleague.jpg,2006-09-15,86,"Beer, broads and baseball: a group of misfits whose weekly softball games seem to have a lot more to do with getting into fights for macho dominance than hitting home runs. Artie is an unemployed and unmotivated drunk that is predictably still living with his mother. He is on a losing softball team, and he and his teammates are facing the end of softball as they know it if they can't pull it together. When love enters his life, it unexpectedly alters Artie's low self-esteem, and the odds for winning, not only the league trophy, but a new life, are certainly looking up. He and his teammates will have to go for the win."
232,"Dead & Breakfast",deadampbreakfast.jpg,2006-07-20,88,"Six friends on a road trip stop for the night at a Bed and Breakfast in the sleepy town of Lovelock. After a night that leaves both the Inn's owner and chef dead, the gang finds themselves under suspicion by the local Sheriff. But that's only the beginning as nearly all of the town's quirky residents become possessed by an evil spirit and pin down the friends inside the B&B. In the vein of Evil Dead II and Dawn of the Dead."
233,61*,61.JPG,2001-04-28,129,"Summer, 1961: Roger Maris and Mickey Mantle are on pace to break the most hallowed record in U.S. sports, Babe Ruth's single-season 60 home runs. It's a big story, and the intense, plain-spoken Maris is the bad guy: sports writers bait him and minimize his talent, fans cheer Mantle, the league's golden boy, and baseball's commissioner announces that Ruth's record stands unless it's broken within 154 games. Any record set after 154 games of the new 162-game schedule will have an asterisk. The film follows the boys of summer, on and off the field: their friendship, the stresses on Maris, his frustration with the negative attention, and his desire to play well, win, and go home."
234,"16 Blocks",16blocks.jpg,2006-03-03,105,"Jack Mosley, a burnt-out detective, is assigned the unenviable task of transporting a fast-talking convict from jail to a courthouse 16 blocks away. However, along the way he learns that the man is supposed to testify against Mosley's colleagues, and the entire NYPD wants him dead. Mosley must choose between loyalty to his colleagues and protecting the witness, and never has such a short distance seemed so long..."
235,"Date Movie",datemovie.jpg,2006-02-17,83,"Julia Jones is unhappy. She's overweight, spends forever working at her fathers diner, and believes she will always be lonely. This is until she meets Grant Fockyerdoder. Before they can have their dream wedding, they must meet each others parents and survive the scheming Andy."
236,"Bottle Rocket",bottlerocket.jpg,1996-02-21,91,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry. With the help of their pathetic neighbor and pal Bob, Anthony and Dignan pull a job and hit the road, where Anthony finds love with motel maid Inez. When our boys finally hook up with Mr. Henry, the ensuing escapade turns out to be far from what anyone expected."
237,Patton,patton.jpg,1970-04-02,170,"""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination. Faults which would, eventually, lead to his being relieved as Occupation Commander of Germany."
239,"Fun With Dick and Jane",funwithdickandjane.jpg,2005-12-21,90,"The day before Globodyne's stock tanks, a la Enron, and its pension fund evaporates, the corporation's CEO and CFO set up middle manager Dick Harper to be the public face of the disaster. Jobless, and with no savings, pension, or home equity, Dick and his wife Jane sink slowly into poverty. He looks for work (as do all former Globodyne executives); he even tries day labor with the relatives of their Mexican nanny. A foreclosure notice sends Dick and Jane over the edge into a life of blue-collar crime. Then, as things finally look up, the report of an looming indictment pushes Dick and Jane toward a denouement with the real criminals, the white-collar guys."
240,Crank,crank.jpg,2006-09-01,87,"The hit-man Chev Chelios is poisoned by the criminal Verona and his friend and doctor Miles advises him that he must keep his adrenaline in an upper level to stay alive. Chev meets his girlfriend Eve and together he looks for Verona to kill him."
241,"Tristan + Isolde",tristanisolde.jpg,2006-01-13,125,"An affair between the second in line to Britain's throne (Franco) and the princess of the feuding Irish (Myles) spells doom for the young lovers."
242,"Shining, The",shiningthe.jpg,1980-05-23,142,"A man, his son and wife become the winter caretakers of an isolated hotel where Danny, the son, sees disturbing visions of the hotel's past using a telepathic gift known as ""The Shining"". The father, Jack Torrance, is underway in a writing project when he slowly slips into insanity as a result of cabin fever and former guests of the hotels ghost's. After being convinced by a waiter's ghost to ""correct"" the family, Jack goes completely insane. The only thing that can save Danny and his mother is ""The Shining""."
243,Seven,seven.jpg,1995-09-22,127,"A film about two homicide detectives' desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" sermonizes to Detectives Sommerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured Sommerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while green Detective Mills scoffs at his efforts to get inside the mind of a killer..."
244,Memento,memento.jpg,2000-10-11,113,"Memento chronicles two separate stories of Leonard, an ex-insurance investigator who can no longer build new memories, as he attempts to find the murderer of his wife, which is the last thing he remembers. One story line movies forward in time while the other tells the story backwards revealing more each time."
245,"Corporation, The",corporationthe.jpg,2004-06-04,145,"Since the late 18th century American legal decision that the business corporation organizational model is legally a person, it has become a dominant economic, political and social force around the globe. This film takes an in-depth psychological examination of the organization model through various case studies. What the study illustrates is that in the its behaviour, this type of ""person"" typically acts like a dangerously destructive psychopath without conscience. Furthermore, we see the profound threat this psychopath has for our world and our future, but also how the people with courage, intelligence and determination can do to stop it."
246,"Crow, The",crowthe.jpg,1994-05-11,102,"A poetic guitarist Eric Draven is brought back to life by a crow a year after he and his fianc?e are murdered. The crow guides him through the land of the living, and leads him to his killers: knife thrower Tin-tin, drugetic Funboy, car buff T-Bird, and the unsophisticated Skank. One by one, Eric gives these thugs a taste of their own medicine. However their leader Top-Dollar, a world-class crime lord who will dispatch his enemies with a Japanese sword and joke about it later, will soon learn the legend of the crow and the secret to the vigilante's invincibility."
247,"Mr. Deeds",mrdeeds.jpg,2002-06-28,96,"When Longfellow Deeds, a small-town pizzeria owner and poet, inherits $40 billion from his deceased uncle, he quickly begins rolling in a different kind of dough. Moving to the big city, Deeds finds himself besieged by opportunists all gunning for their piece of the pie. Babe, a television tabloid reporter, poses as an innocent small-town girl to do an expos? on Deeds. Of course, Deeds' sincere naivet? has Babe falling in love with him instead. Ultimately, Deeds comes to find that money truly has the power to change things, but it doesn't necessarily need to change him."
248,"Boiler Room",boilerroom.jpg,2000-02-18,120,"A morally decent college dropout finds himself at conflict with his harsh federal judge father. He gets a job as a stock broker and gets on the fast track to success. Only things take a turn for the worst when he learns that his job isn't what's it cracked up to be."
249,"American Pie 2",americanpie2.jpg,2001-08-10,108,"The whole gang are back and as close as ever. They decide to get even closer by spending the summer together at a beach house. They decide to hold the biggest party ever to be seen, even if the preparation doesn't always go to plan. Especially when Stifler, Finch and Jim become more close to each other than they ever want to be and when Jim mistakes super glue for lubricant."
250,"Dumb and Dumber",dumbanddumber.jpg,1994-12-16,107,"Harry and Lloyd are two brainless losers who try to return a suitcase full of money to its pretty owner. After a journey full of accidents they arrive in snowy Aspen, Colorado and try to find her. But will they succeed?"
251,Face/Off,faceoff.jpg,1997-06-27,138,"Sean Archer, a very tough, rugged FBI Agent. Who is still grieving for the dead son Michael. Archer believes that his son's killer is his sworn enemy, a very powerful criminal, Castor Troy. One day, Archer has finally cornered Castor, however, their fight has knocked out Troy cold. As Archer finally breathes easy over the capture of his enemy, he finds out that Troy has planted a bomb that will destroy the entire city of Los Angeles and all of its inhabitants. Unfortunately the only other person who knows its location is Castor's brother Pollux, and he refuses to talk. The solution, a special operation doctor that can cut off people's faces, and can place a person's face onto another person. Archer undergoes one of those surgeries to talk to Pollux. However, Castor Troy somehow regains consciousness and now wants revenge on Archer for taking his face. Not only is Troy ruining Archer's mission, but his personal life as well. Archer must stop Troy again. This time, it's personal."
252,"Jay and Silent Bob Strike Back!",jayandsilentbobstrikeback.jpg,2001-08-24,104,"Jay and Silent Bob Strike Back is a tale of adventure on the open road. When Dante and Randal (of Clerks fame) get a restraining order to keep the punchy Jay and his hetero life-mate, Silent Bob, from selling drugs in front of the Quick Stop convenience store, their lives are suddenly empty. They find new purpose when their friend, Brodie, informs them a movie is being made featuring two infamous characters based on their likenesses. After visiting one of the creators of the Bluntman and Chronic, Holden McNeil, they set out to get what fat movie cash they deserve and hopefully put an end to people slandering them on the Internet. Along the way, they learn the rules of the road from a hitchhiking George Carlin, ride with a group of gorgeous jewel thieves, and incur the wrath of a hapless wildlife marshal for liberating an orangutan named Suzanne. The quest takes them from New Jersey to Hollywood where a showdown involving the police, the jewel thieves, and the Bluntman and Chronic filmmakers will decide the fate of Suzanne, Jay, Silent Bob, and their good names."
253,"Lock, Stock, and Two Smoking Barrels",lockstockandtwosmokingbarrels.jpg,1999-03-05,107,"Four Jack-the-lads find themselves heavily - seriously heavily - in debt to an East End hard man and his enforcers after a crooked card game. Overhearing their neighbours in the next flat plotting to hold up a group of out-of-their-depth drug growers, our heros decide to stitch up the robbers in turn. In a way the confusion really starts when a pair of antique double-barrelled shotguns go missing in a completely different scam."
254,Payback,payback.jpg,1999-02-05,100,"Val Resnick and Porter, two small time bandits, hit a Chinese gang together and manage to get $140,000. But Val Resnick needs 130 grand alone to buy himself back into his syndication. So, Val turns on Porter together with Porter's wife Lynn, who kills him with two shots in the back. But Porter survives and half a year later, he is back, seeking his share of $70,000. When he finally finds Val, Porter quickly learns that he has to go much further up the ladder in order to get his money from the guys who have it: The syndication. Working alone can't be realized any more, so Porter teams up with his flame and previous boss Rosie, a very exclusive prostitute. Together, they now start playing the teams against each other."
255,"Rush Hour",rushhour.jpg,1998-09-18,98,"Cultures clash and tempers flares as the two cops named Detective Inspector Lee a Hong Kong Detective and Detective James Carter FBI, a big-mouthed work-alone Los Angeles cop who are from different worlds discovers one thing in common: they can't stand each other. With time running out, they must join forces to catch the criminals and save the eleven-year-old Chinese girl of the Chinese consul named Soo Yung."
256,"Rush Hour 2",rushhour2.jpg,2001-08-03,90,"It's vacation time for Det. James Carter and he finds himself alongside Det. Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot by L.A. crime boss Steven Reign and Triad Ricky Tan, an ex-cop who played a mysterious part in the death of Det. Lee's father. Throw in a power struggle between Tan and the gorgeous but dangerous Hu Li and the boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella. Then again, it may turn up more excitement than Carter was looking for during his vacation."
257,Idiocracy,idiocracy.jpg,2007-01-25,84,"The purpose of the program set up by the Pentagon, called the ""Human Hibernation Project,"" is designed so that the military can save their best men for when they're needed most. According to the officers heading the project, too many times the talents and expensive training of the best pilots and soldiers go to waste during times of peace. So they enlist Bauers (Wilson), the most under-achieving average guy they've got, to be the test subject for the initial hibernation experiment. Also participating in the top-secret program is Rita (Rudolph), a prostitute who agreed to take part in exchange for dropping some criminal charges against her, among other things. Of course, the experiment, which was to last only a year, goes under due to the arrest of Officer Collins, who is busted for heading a prostitution ring. Seeing as though he was in charge of the experiment, one of the only ones who knew of its existence, and ""due to a lot of top-secret red tape... and the massive scandals and base closure that followed, Joe and Rita were forgotten about."
258,"History of Violence, A",historyofviolencea.jpg,2005-09-30,96,"This is the story of a mild-mannered man, named Tom Stall, who becomes a local hero through an act of violence, he lives a happy and quiet life with his lawyer wife and their two children in the small town of Millbrook, Indiana. But one night their idyllic existence is shattered when Tom foils a vicious attempted robbery in his diner. Sensing danger, he takes action and saves his customers and friends in the self-defense killings of two-sought-after criminals. Heralded as a hero, Tom's life is changed overnight, attracting a national media circus, which forces him into the spotlight. Uncomfortable with his newfound celebrity, Tom tries to return to the normalcy of his ordinary life only to be confronted by a mysterious and threatening man who arrives in town believing Tom is the man who wronged him in the past. As Tom and his family fight back against this case of mistaken identity and struggle to cope with their changed reality, they are forced to confront their relationships and the divisive issues which surface as a result."
259,"Employee of the Month",employeeofthemonth.jpg,2006-10-06,103,"At Super Club, a large warehouse store, the employees strive to obtain the ""Employee of the Month"" award with the benefits of having their picture featured on the wall of fame in the staff lounge. Zack Bradley, a box boy, and Vince Downey, a cashier, are two competitive Super Club employees. Vince has become head cashier of the store and winner of seventeen consecutive ""Employee of the Month"" awards. Zack, on the other hand, is a slacker but is popular with his colleagues. Zack has not won any ""Employee of the Month"" awards and has no desire to except when Amy, a new cashier who only dates ""Employee of the Month"" winners, transfers to the store. Zack and Vince compete to get Amy's attention through competition and courtship. Vince attempts to impress Amy with skills as a cashier and his seventeen ""Employee of the Month"" awards, while Zack attempts to use several methods of charm and comedy to win her affection. After realizing that Amy is falling for Vince, Zack believes his only chance to get her is to win Super Club's next ""Employee of the Month"" award."
260,Constantine,constantine.jpg,2005-02-18,121,"The story of irreverent supernatural detective John Constantine, who has literally been to Hell and back. When Constantine teams up with skeptical policewoman Angela Dodson to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists just beneath the landscape of contemporary Los Angeles. Caught in a catastrophic series of otherworldly events, the two become inextricably involved and seek to find their own peace at whatever cost."
261,Eurotrip,eurotrip.jpg,2004-02-20,93,"When Scotty's German online pen pal suggests they meet, he initially freaks out. But then he discovers that she's gorgeous, and heads out with three friends after graduation to meet her. As they travel across Europe, the four friends have comical misadventures."
262,"L4yer Cake",l4yercake.jpg,2004-10-01,105,"The successful drug dealer Mr. X plans his criminal career intermediating business with drugs without calling the attention, working with a small gang and honoring his payments with the suppliers. On the day planned for his early retirement, the powerful mobster Jimmy Price gives two assignments to him: find Charlie, the addicted daughter of his associate Eddie Temple and negotiate um million pills of high-quality ecstasy with the stupid smalltime gangster Duke. Mr. X hires two acquaintances crooks in a night-club to find Charlie, and he unexpectedly meets Duke's cousin Sidney with his sexy girlfriend Tammy and flirts with her. But Mr. X discovers that the ecstasy was stolen from the dangerous and wild Serbian drug lord Dragan that wants the head of Duke and the drugs back. Further, Eddie shows a tape proving that he has been double-crossed by Jimmy, and also wants the ecstasy. The smart Mr. X plots a scheme to resolve the situation and meet Tammy."
263,"Minority Report",minorityreport.jpg,2002-06-21,145,"In the year 2054 A.D. crime is virtually eliminated from Washington D.C. thanks to an elite law enforcing squad ""Precrime"". They use three genetically altered humans (called ""Pre-Cogs"") with special powers to see into the future and predict crimes beforehand. John Anderton heads Precrime and believes the system's flawlessness steadfastly. However one day the Pre-Cogs predict that Anderton will commit a murder himself in the next 36 hours. Worse, Anderton doesn't even know the victim. He decides to get to the mystery's core by finding out the 'minority report' which means the prediction of the female Pre-Cog Agatha that ""might"" tell a different story and prove Anderton innocent."
264,"Final Fantasy: The Spirits Within",finalfantasythespiritswithin.jpg,2001-07-11,106,"In the year 2065, the next great assault against an invading race of phantom-like aliens is about to be launched. Dr. Aki Ross, a brilliant young scientist, races to find the invaders' secrets, not only to save the planet, but herself as well after her body is infected by alien particles. She teams up with the prestigious Deep Eyes military squadron, led by her old friend Grey Edwards. But as Aki, her mentor Dr. Sid, and Grey work toward a peaceful end, the scheming General Hein devises a plot to eradicate the aliens in one swift, destructive blow...even if it destroys the Earth right along with them."
265,"AI: Artificial Intelligence",aiartificialintelligence.jpg,2001-06-29,146,"In the not-so-far future the polar ice caps have melted and the resulting raise of the ocean waters has drowned all the coastal cities of the world. Withdrawn to the interior of the continents, the human race keeps advancing, reaching to the point of creating realistic robots (called mechas) to serve him. One of the mecha-producing companies builds David, an artificial kid which is the first to have real feelings, especially a never-ending love for his ""mother"", Monica. Monica is the woman who adopted him as a substitute for her real son, who remains in cryo-stasis, stricken by an incurable disease. David is living happily with Monica and her husband, but when their real son returns home after a cure is discovered, his life changes dramatically."
266,"Mothman Prophecies, The",mothmanpropheciesthe.jpg,2002-01-25,119,"John Klein is involved in a car accident with his wife, but while he is unharmed, his wife mentions a moth shaped creature appearing. After her death, John begins to investigate the secrets behind this mentioned Mothman. It takes him to a small town of Point Pleasant, West Virginia, where he discovers a connection with the same problem. Here he meets Connie Mills, whilst he continues to unravel the mystery of what the Mothman really is."
267,"Idle Hands",idlehands.jpg,1999-04-30,90,"Seventeen year old slacker Anton Tobias wakes up one Halloween morning to discover that both of his parents have been turned into two headless Halloween decorations. After speaking to his equally irresponsible friends, Mick and Pnub, he discovers that his right hand has a blood-thirsty mind of its own and is hell-bent on wreaking havoc whether he likes it or not."
268,Gattaca,gattaca.jpg,1997-10-24,106,"In the not-too-distant future, a less than perfect man wants to travel to the stars. Society has categorized Vincent Freeman as less than suitable given his genetic make-up and he has become one of the underclass of humans that are only useful for menial jobs. To move ahead, he assumes the identity of Jerome Morrow, a perfect genetic specimen who is a paraplegic as a result of a fall. With some professional advice, Vincent learns to deceive DNA and urine sample testing. When a colleague is killed he is finally scheduled for a space mission, but a colleague suspects his origins and the police begin an investigation."
269,Son-In-Law,son-in-law.jpg,1993-07-02,95,"Country girl Rebecca begins college in Los Angeles. There she meets Crawl, a student who is crazy, unpredictable and wild. During the holidays she brings him with her home. Her parents have never seen anything like him and are shocked when Rebecca tells them that they are engaged to be married. Two different worlds collide..."
270,Solaris,solaris.jpg,2002-11-27,99,"Upon arrival at the space station orbiting an ocean world called Solaris a psychologist discovers that the commander of an expedition to the planet has died mysteriously. Other strange events soon start happening as well, such as the appearance of old acquaintances of the crew, including some who are dead."
271,"Empire Records",empirerecords.jpg,1995-10-20,90,"A day in the life of the employees of Empire Records. Except this is a day where everything comes to a head for a number of them facing personal crises - can they pull through together? And more importantly, can they keep their record store independent and not swallowed up by corporate greed?"
272,"Crow IV, The - Wicked Prayer",crowivthe-wickedprayer.jpg,2005-09-14,99,"Jimmy Cuervo is a down-on-his-luck ex-con living in a polluted mining town on a reservation that would run him out of town if not for the remainder of his probation. With his time nearly finished, he plans to start a new life with his girlfriend Lily , and leave the town for good. But Luc Crash and Lola Byrne head up a local gang of local Satanists who murder Jimmy and Lily in a brutally ritualistic slaying that they hope will conjure the rebirth of the Antichrist. When the legend of the Crow returns Jimmy from the dead, Jimmy heads out on a one-man path of vengeance that will lead him to El Nino, the leader of the gang that Luc and Lola are in."
273,Tombstone,tombstone.jpg,1993-12-25,130,"After success cleaning up Dodge City, Wyatt Earp moves to Tombstone, Arizona, and wishes to get rich in obscurity. He meets his brothers there, as well as his old friend Doc Holliday. A band of outlaws that call themselves The Cowboys are causing problems in the region with various acts of random violence, and inevitably come into confrontation with Holliday and the Earps, which leads to a shoot-out at the OK Corral."
274,"Say Anything",sayanything.jpg,1989-04-14,100,"High school senior Lloyd Dobler wants nothing more than to go out with beautiful and intelligent Diane Court. Lloyd attempts to win her heart over the objections of her over-protective father before Diane leaves for a scholarship in England."
275,"Departed, The",departedthe.jpg,2006-10-06,151,"In South Boston, the state police force is waging war on Irish-American organized crime. Young undercover cop Billy Costigan is assigned to infiltrate the mob syndicate run by gangland chief Frank Costello. While Billy quickly gains Costello's confidence, Colin Sullivan, a hardened young criminal who has infiltrated the state police as an informer for the syndicate, is rising to a position of power in the Special Investigation Unit. Each man becomes deeply consumed by his double life, gathering information about the plans and counter-plans of the operations he has penetrated. But when it becomes clear to both the mob and the police that there's a mole in their midst, Billy and Colin are suddenly in danger of being caught and exposed to the enemy-and each must race to uncover the identity of the other man in time to save himself. But is either willing to turn on the friends and comrades they've made during their long stints undercover?"
276,Unforgiven,unforgiven.jpg,1992-08-07,131,"The town of Big Whisky is full of normal people trying to lead quiet lives. Cowboys try to make a living. Sheriff 'Little Bill' tries to build a house and keep a heavy-handed order. The town whores just try to get by.Then a couple of cowboys cut up a whore. Unsatisfied with Bill's justice, the prostitutes put a bounty on the cowboys. The bounty attracts a young gun billing himself as 'The Schofield Kid', and aging killer William Munny. Munny reformed for his young wife, and has been raising crops and two children in peace. But his wife is gone. Farm life is hard. And Munny is no good at it. So he calls his old partner Ned, saddles his ornery nag, and rides off to kill one more time, blurring the lines between heroism and villainy, man and myth."
277,Bio-Dome,bio-dome.jpg,1996-01-12,88,"Bud and Doyle's girlfriends just dumped them. Now the two friends get trapped in the ""Bio-Dome"" trying to show their girlfriends that they to are environmentally correct. Will they even get out of the big bubble?"
278,"Crow III, The - Salvation",crowiiithe-salvation.jpg,2000-06-14,102,"The third entry in 'The Crow' series follows Alex Corvis, who was framed for the murder of his girlfriend and is executed. he is then brought back from the dead by a crow when the legend says 'Love is stronger than death'. He returns to discover that a corrupt police force is behind her murder and for him to go after the killers, he must find out the mystery behind everything that happened."
279,"Farce of the Penguins",farceofthepenguins.jpg,2007-02-22,80,"In this spoof of ""March of the Penguins,"" nature footage of penguins near the South Pole gets a soundtrack of human voices. Carl and Jimmy, best friends, walk 70 miles to the mating grounds where the female penguins wait. The huddled masses of females - especially Melissa and Vicki - talk about males, mating, and what might happen this year. Carl, Jimmy, and the other males make the long trek talking about food, fornication and flatulence. Until this year, Carl's sex life has been dismal, but he falls hard for Melissa. She seems to like him. A crisis develops when Jimmy comes upon something soft in the dark. Can friends forgive? Does parenthood await Carl and Melissa?"
280,"Man of the Year",manoftheyear.jpg,2006-10-13,115,"Tom Dobbs, comedic host of a political talk show - a la Bill Maher and Jon Stewart - runs for President of the US as an independent candidate who, after an issues-oriented campaign and an explosive performance in the final debate, gets just enough votes to win. Trouble is he owes his victory to a computer glitch in the national touch-screen voting system marketed by Delacroy, a private company with a rising stock price. To protect their fortune, Delacroy executives want to keep the glitch a secret, but one programmer, Eleanor Green, wants Dobbs to know the truth. Can she get to him?"
281,"Prestige, The",prestigethe.jpg,2006-10-20,130,"In the end of the Nineteenth Century, in London, Robert Angier, his beloved wife Julia McCullough and Alfred Borden are friends and assistants of a magician. When Julia accidentally dies during a performance, Robert blames Alfred for her death and they become enemies. Both become famous and rival magicians, sabotaging the performance of the other on the stage. When Alfred performs a successful trick, Robert becomes obsessed trying to disclose the secret of his competitor with tragic consequences."
282,"Better Off Dead",betteroffdead.jpg,1985-10-11,97,"Lane Meyer is a depressed teen who looses his girlfriend Beth. This is her reason for the split; ""Lane, I think it'd be in my best interest if I dated somebody more popular. Better looking. Drived a nicer car."" Anyway, poor Lane is left alone and thinks up treacherous ways of killing himself. He finally meets a French beauty called Monique and falls for her. Simultaneously, he must endure his mothers terrible cooking which literally slides off the table, his disgusting next door neighbour Ricky (and his mum) and he must prepare for the skiing race of his life - to get his old girlfriend back!"
283,"Flags of our Fathers",flagsofourfathers.jpg,2006-10-20,132,"In 1945, the Marines attack twelve thousand Japaneses protecting the twenty square kilometers of the sacred Iwo Jima island in a very violent battle. When they reach the Mount Suribachi and six soldiers raise their flag on the top, the picture become a symbol in a post Great Depression America. The government brings the three survivors to America to raise funds of war, bringing hope to desolated people, and making the three men heroes of war. However, the traumatized trio has difficulties to deal with the image build by their superiors, sharing the heroism with their mates."
